                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60361,                 5.3663,                0.90271,                      0,                      0,                      0,                      0,                0.39598,                    inf,                 0.7934,              0.0032911,              0.0032911,              0.0032911
                      2,                0.52791,                   4.13,                0.85364,                0.20416,                0.29783,                0.15057,                0.14074,                0.38351,                 2.9657,                0.82426,              0.0065808,              0.0065808,              0.0065808
                      3,                0.49595,                 2.3153,                0.86419,                0.66398,                 0.5821,                0.70682,                 0.6606,                0.38896,                 2.0884,                0.82316,              0.0098264,              0.0098264,              0.0098264
                      4,                0.45616,                 1.0298,                 0.8475,                0.89031,                0.84549,                0.93796,                0.90681,                0.30121,                0.79599,                 0.7925,               0.009802,               0.009802,               0.009802
                      5,                0.39298,                0.74174,                0.82711,                0.95804,                0.93492,                0.97691,                0.96255,                 0.2487,                0.45591,                 0.7764,               0.009736,               0.009736,               0.009736
                      6,                0.36117,                0.64345,                0.81891,                0.96091,                0.93495,                0.97746,                0.96549,                0.23667,                0.43668,                0.77264,                0.00967,                0.00967,                0.00967
                      7,                0.33654,                0.59168,                0.81513,                 0.9674,                0.94751,                0.98317,                0.97181,                0.22869,                0.38491,                0.77338,               0.009604,               0.009604,               0.009604
                      8,                0.31938,                0.54843,                0.80931,                0.96527,                 0.9445,                0.98186,                0.97115,                0.22663,                0.35885,                0.77063,               0.009538,               0.009538,               0.009538
                      9,                0.30731,                0.51427,                0.80642,                0.98414,                0.97032,                0.98977,                0.98387,                0.20077,                0.29406,                0.76691,               0.009472,               0.009472,               0.009472
                     10,                0.29517,                0.49906,                0.80459,                 0.9781,                 0.9554,                0.98653,                0.98204,                0.19981,                0.31703,                0.76611,               0.009406,               0.009406,               0.009406
                     11,                 0.2874,                0.47418,                0.80315,                0.97361,                0.95467,                0.98534,                 0.9813,                0.18281,                0.32117,                0.76202,                0.00934,                0.00934,                0.00934
                     12,                0.27931,                 0.4521,                0.79999,                0.98323,                0.96279,                0.98868,                0.98486,                0.18015,                0.27235,                0.76063,               0.009274,               0.009274,               0.009274
                     13,                 0.2735,                0.43771,                 0.7987,                0.98304,                0.96797,                0.98904,                0.98635,                0.17269,                0.24454,                0.76039,               0.009208,               0.009208,               0.009208
                     14,                  0.267,                0.42175,                0.79713,                0.98593,                0.97786,                0.99133,                0.98889,                0.17055,                0.27449,                 0.7589,               0.009142,               0.009142,               0.009142
                     15,                0.25982,                0.40919,                 0.7967,                0.98289,                 0.9616,                0.98852,                0.98625,                0.16622,                0.26659,                0.75801,               0.009076,               0.009076,               0.009076
                     16,                0.25628,                0.39828,                0.79544,                0.99157,                0.98362,                0.99261,                0.99016,                0.16534,                0.19596,                0.75827,                0.00901,                0.00901,                0.00901
                     17,                0.25543,                0.38302,                0.79513,                0.98814,                0.97479,                0.99175,                0.98931,                0.17175,                 0.2183,                0.75882,               0.008944,               0.008944,               0.008944
                     18,                 0.2498,                0.37207,                0.79486,                0.98698,                0.97555,                0.99062,                0.98884,                0.15903,                 0.2126,                0.75645,               0.008878,               0.008878,               0.008878
                     19,                0.24328,                0.36048,                0.79422,                0.99068,                0.98406,                0.99312,                0.99042,                 0.1615,                0.19132,                0.75829,               0.008812,               0.008812,               0.008812
                     20,                0.23934,                0.35038,                0.79274,                0.99168,                0.98572,                 0.9932,                0.99169,                0.15727,                0.18061,                0.75613,               0.008746,               0.008746,               0.008746
                     21,                0.23868,                0.33916,                0.79174,                 0.9935,                0.98362,                0.99321,                 0.9919,                0.15285,                0.17844,                0.75528,                0.00868,                0.00868,                0.00868
                     22,                0.23139,                0.33067,                0.79035,                0.99196,                0.98194,                0.99334,                0.99216,                0.14786,                0.17959,                0.75566,               0.008614,               0.008614,               0.008614
                     23,                 0.2314,                0.32199,                0.79059,                0.99307,                0.98144,                0.99268,                0.99158,                0.15164,                0.17516,                 0.7558,               0.008548,               0.008548,               0.008548
                     24,                0.22699,                0.31653,                 0.7913,                0.99347,                0.98309,                0.99286,                0.99132,                    inf,                0.17001,                0.75576,               0.008482,               0.008482,               0.008482
                     25,                0.22239,                0.30718,                0.79028,                0.99123,                 0.9822,                0.99314,                0.99207,                0.14485,                0.16864,                0.75408,               0.008416,               0.008416,               0.008416
                     26,                0.21927,                0.30316,                0.79014,                0.99219,                0.98533,                0.99371,                0.99265,                0.14516,                0.16342,                0.75431,                0.00835,                0.00835,                0.00835
                     27,                0.21805,                0.29565,                0.78855,                0.98925,                0.98469,                0.99298,                0.99208,                0.14799,                0.16828,                0.75427,               0.008284,               0.008284,               0.008284
                     28,                0.21674,                0.29005,                0.78895,                0.99391,                0.98629,                0.99365,                0.99241,                0.14554,                0.15175,                0.75446,               0.008218,               0.008218,               0.008218
                     29,                0.21413,                0.28685,                0.78868,                0.99437,                0.98633,                0.99343,                0.99277,                0.13864,                0.15644,                0.75305,               0.008152,               0.008152,               0.008152
                     30,                0.21377,                0.27976,                0.78882,                0.99448,                 0.9876,                0.99365,                0.99293,                0.13703,                0.14478,                0.75221,               0.008086,               0.008086,               0.008086
                     31,                 0.2115,                0.27532,                0.78813,                0.99366,                0.98658,                0.99395,                0.99271,                0.14048,                0.14898,                0.75358,                0.00802,                0.00802,                0.00802
                     32,                0.21066,                0.27079,                0.78711,                0.99449,                0.98618,                0.99335,                0.99231,                0.13779,                0.14859,                0.75264,               0.007954,               0.007954,               0.007954
                     33,                0.20793,                0.26835,                0.78657,                0.99466,                0.98922,                0.99414,                0.99349,                0.13611,                0.14037,                0.75194,               0.007888,               0.007888,               0.007888
                     34,                0.20645,                0.26764,                0.78593,                0.99341,                0.98967,                0.99341,                0.99271,                  0.137,                0.14746,                0.75228,               0.007822,               0.007822,               0.007822
                     35,                0.20577,                0.26252,                  0.787,                0.99538,                0.98903,                0.99404,                0.99319,                0.13517,                0.13749,                0.75235,               0.007756,               0.007756,               0.007756
                     36,                0.20463,                0.25442,                0.78586,                0.99424,                0.98909,                0.99408,                0.99309,                0.13988,                0.13869,                0.75359,                0.00769,                0.00769,                0.00769
                     37,                0.20243,                0.25127,                0.78527,                0.99635,                0.98914,                0.99395,                0.99346,                0.13084,                0.13537,                0.75117,               0.007624,               0.007624,               0.007624
                     38,                0.20104,                0.24966,                0.78645,                0.99459,                0.98737,                0.99371,                0.99297,                0.13351,                0.14127,                0.75171,               0.007558,               0.007558,               0.007558
                     39,                0.20137,                0.25299,                0.78598,                0.99448,                0.98821,                0.99391,                0.99344,                0.13232,                0.13667,                0.75139,               0.007492,               0.007492,               0.007492
                     40,                0.19979,                0.24542,                0.78581,                0.99645,                0.99041,                0.99419,                0.99352,                0.13132,                0.12696,                0.75148,               0.007426,               0.007426,               0.007426
                     41,                0.19997,                0.24057,                0.78431,                 0.9959,                0.98924,                0.99387,                0.99331,                0.13326,                0.13019,                0.75148,                0.00736,                0.00736,                0.00736
                     42,                0.19875,                0.23727,                0.78383,                0.99573,                0.99086,                0.99422,                 0.9937,                0.12982,                0.12949,                0.75037,               0.007294,               0.007294,               0.007294
                     43,                0.19773,                0.23563,                0.78491,                0.99402,                0.99107,                0.99401,                0.99354,                0.12754,                0.12927,                0.75016,               0.007228,               0.007228,               0.007228
                     44,                0.19645,                0.23249,                0.78403,                0.99538,                0.99037,                0.99433,                 0.9937,                0.12963,                0.12359,                0.75026,               0.007162,               0.007162,               0.007162
                     45,                0.19657,                0.23379,                0.78562,                0.99561,                0.99084,                0.99413,                0.99362,                0.13085,                0.12878,                0.75088,               0.007096,               0.007096,               0.007096
                     46,                0.19417,                0.23001,                0.78504,                0.99466,                0.99008,                0.99392,                0.99349,                0.12738,                0.12736,                0.75032,                0.00703,                0.00703,                0.00703
                     47,                0.19277,                0.23002,                 0.7849,                0.99635,                0.99294,                0.99444,                0.99396,                0.12511,                0.11797,                0.74948,               0.006964,               0.006964,               0.006964
                     48,                0.19237,                0.22232,                0.78345,                0.99602,                0.99129,                0.99449,                0.99414,                0.12392,                0.11795,                0.74943,               0.006898,               0.006898,               0.006898
                     49,                0.19171,                0.22235,                0.78277,                0.99687,                0.99154,                0.99432,                0.99394,                0.12648,                0.11933,                0.74932,               0.006832,               0.006832,               0.006832
                     50,                0.19109,                0.22173,                0.78415,                0.99594,                0.99061,                0.99422,                0.99381,                0.12439,                0.12365,                0.74893,               0.006766,               0.006766,               0.006766
                     51,                 0.1906,                0.22156,                0.78387,                0.99543,                0.99014,                0.99397,                0.99358,                0.12307,                0.12401,                0.74952,                 0.0067,                 0.0067,                 0.0067
                     52,                0.19072,                0.21828,                0.78399,                0.99618,                 0.9913,                 0.9943,                 0.9939,                0.12422,                 0.1189,                0.74925,               0.006634,               0.006634,               0.006634
                     53,                0.18924,                0.21417,                0.78273,                0.99584,                0.99157,                 0.9945,                 0.9942,                0.12255,                0.11772,                0.74883,               0.006568,               0.006568,               0.006568
                     54,                 0.1891,                0.21218,                0.78368,                0.99629,                0.99091,                0.99424,                0.99393,                0.12359,                0.11815,                0.74908,               0.006502,               0.006502,               0.006502
                     55,                0.18848,                0.20787,                0.78261,                0.99675,                0.99247,                0.99447,                0.99412,                0.12336,                0.11759,                0.74891,               0.006436,               0.006436,               0.006436
                     56,                0.18529,                0.20929,                0.78377,                0.99683,                0.99295,                 0.9945,                0.99413,                0.12143,                0.11811,                0.74886,                0.00637,                0.00637,                0.00637
                     57,                0.18567,                0.20712,                0.78228,                0.99699,                0.99188,                 0.9944,                0.99403,                0.12185,                0.11954,                0.74822,               0.006304,               0.006304,               0.006304
                     58,                 0.1868,                0.20804,                0.78193,                0.99739,                0.99137,                0.99448,                0.99424,                0.12125,                0.11628,                 0.7484,               0.006238,               0.006238,               0.006238
                     59,                0.18487,                0.20417,                0.78113,                0.99697,                0.99264,                0.99457,                0.99432,                0.11892,                 0.1212,                 0.7478,               0.006172,               0.006172,               0.006172
                     60,                 0.1847,                0.20129,                 0.7833,                0.99718,                0.99279,                0.99463,                0.99431,                0.12045,                0.11251,                0.74881,               0.006106,               0.006106,               0.006106
                     61,                0.18441,                0.20342,                0.78268,                0.99654,                0.99327,                0.99446,                0.99421,                 0.1221,                0.11711,                0.74866,                0.00604,                0.00604,                0.00604
                     62,                0.18214,                0.20105,                0.78147,                 0.9973,                0.99204,                0.99438,                0.99407,                0.11918,                0.11693,                0.74758,               0.005974,               0.005974,               0.005974
                     63,                0.18271,                0.19662,                0.78085,                0.99725,                0.99246,                0.99435,                 0.9941,                0.11765,                0.11972,                0.74834,               0.005908,               0.005908,               0.005908
                     64,                0.18291,                0.19888,                0.78197,                0.99682,                0.99252,                 0.9945,                0.99422,                0.11841,                0.12134,                0.74672,               0.005842,               0.005842,               0.005842
                     65,                0.18112,                0.19962,                0.78328,                0.99681,                 0.9928,                0.99449,                0.99425,                0.11722,                0.11599,                0.74639,               0.005776,               0.005776,               0.005776
                     66,                0.18213,                0.19493,                0.78136,                0.99666,                0.99274,                0.99445,                0.99422,                0.11617,                0.10889,                0.74632,                0.00571,                0.00571,                0.00571
                     67,                0.18062,                0.19352,                0.78139,                0.99764,                0.99235,                 0.9945,                0.99398,                0.12204,                0.11246,                0.74749,               0.005644,               0.005644,               0.005644
                     68,                0.18036,                0.19237,                0.78171,                0.99784,                0.99407,                0.99469,                0.99445,                 0.1168,                 0.1061,                0.74606,               0.005578,               0.005578,               0.005578
                     69,                0.18022,                0.19391,                0.78229,                0.99747,                0.99409,                0.99474,                 0.9945,                0.11717,                 0.1199,                0.74643,               0.005512,               0.005512,               0.005512
                     70,                0.17952,                0.19073,                0.78122,                0.99717,                0.99327,                0.99462,                0.99433,                0.11623,                0.10709,                0.74642,               0.005446,               0.005446,               0.005446
                     71,                 0.1791,                0.18825,                0.78071,                0.99749,                0.99292,                0.99466,                0.99449,                0.11558,                0.11565,                0.74649,                0.00538,                0.00538,                0.00538
                     72,                0.18072,                0.18833,                0.78126,                0.99726,                0.99361,                0.99457,                 0.9943,                  0.114,                0.10699,                0.74632,               0.005314,               0.005314,               0.005314
                     73,                 0.1769,                0.18612,                0.78092,                0.99747,                 0.9934,                0.99452,                0.99431,                0.11305,                0.10259,                0.74597,               0.005248,               0.005248,               0.005248
                     74,                0.17782,                0.18686,                0.78174,                0.99741,                0.99298,                0.99455,                0.99432,                0.11552,                0.10489,                0.74644,               0.005182,               0.005182,               0.005182
                     75,                0.17794,                0.18385,                 0.7811,                0.99704,                0.99353,                0.99462,                0.99438,                0.11339,                0.10103,                0.74593,               0.005116,               0.005116,               0.005116
                     76,                0.17697,                0.18117,                0.78095,                0.99689,                0.99288,                0.99472,                0.99449,                0.11343,                0.10268,                0.74591,                0.00505,                0.00505,                0.00505
                     77,                0.17619,                 0.1806,                0.78163,                 0.9974,                0.99383,                0.99472,                 0.9945,                0.11254,                0.10475,                0.74587,               0.004984,               0.004984,               0.004984
                     78,                0.17509,                 0.1791,                0.78015,                0.99675,                0.99364,                0.99469,                 0.9945,                0.11248,                0.10408,                0.74598,               0.004918,               0.004918,               0.004918
                     79,                 0.1748,                0.17616,                0.77929,                0.99707,                0.99451,                 0.9948,                 0.9946,                    inf,                0.09902,                0.74511,               0.004852,               0.004852,               0.004852
                     80,                0.17462,                0.17834,                 0.7812,                0.99766,                0.99448,                0.99477,                0.99462,                0.11099,                 0.0992,                0.74528,               0.004786,               0.004786,               0.004786
                     81,                0.17316,                0.17948,                0.78085,                0.99745,                0.99418,                0.99463,                0.99447,                0.11153,                0.10806,                0.74584,                0.00472,                0.00472,                0.00472
                     82,                0.17404,                0.17947,                0.78047,                0.99756,                0.99366,                0.99456,                 0.9943,                0.11078,                 0.0994,                 0.7454,               0.004654,               0.004654,               0.004654
                     83,                0.17254,                0.17497,                 0.7793,                0.99759,                0.99396,                0.99461,                0.99439,                 0.1101,                0.09632,                0.74511,               0.004588,               0.004588,               0.004588
                     84,                0.17183,                0.17251,                0.78032,                0.99787,                0.99444,                0.99479,                0.99459,                0.10961,                0.09546,                0.74531,               0.004522,               0.004522,               0.004522
                     85,                0.17329,                 0.1737,                0.78016,                0.99768,                0.99421,                0.99456,                0.99442,                0.10971,                0.09742,                0.74517,               0.004456,               0.004456,               0.004456
                     86,                 0.1718,                0.17227,                0.77969,                0.99757,                0.99388,                0.99471,                0.99457,                0.10944,                0.09617,                0.74509,                0.00439,                0.00439,                0.00439
                     87,                0.17111,                0.16836,                0.77943,                0.99749,                0.99464,                0.99477,                0.99465,                   0.11,                0.09495,                0.74505,               0.004324,               0.004324,               0.004324
                     88,                0.17076,                0.17263,                 0.7797,                0.99783,                0.99424,                0.99478,                0.99451,                0.10989,                0.09514,                0.74524,               0.004258,               0.004258,               0.004258
                     89,                0.17067,                0.16986,                0.78002,                0.99795,                0.99399,                0.99473,                0.99452,                0.10943,                0.09456,                0.74529,               0.004192,               0.004192,               0.004192
                     90,                0.17052,                0.16885,                0.78092,                0.99769,                0.99451,                0.99474,                0.99458,                    inf,                0.09411,                0.74476,               0.004126,               0.004126,               0.004126
                     91,                0.16965,                0.16799,                0.77974,                0.99817,                0.99454,                 0.9948,                0.99462,                0.10758,                0.09221,                0.74482,                0.00406,                0.00406,                0.00406
                     92,                0.17016,                0.16793,                0.77995,                0.99826,                0.99444,                0.99481,                0.99466,                    inf,                0.09076,                0.74459,               0.003994,               0.003994,               0.003994
                     93,                0.16866,                 0.1669,                0.77875,                0.99771,                0.99506,                0.99486,                 0.9947,                0.10771,                0.09354,                0.74487,               0.003928,               0.003928,               0.003928
                     94,                0.16992,                0.16555,                0.77942,                0.99789,                0.99432,                0.99488,                0.99473,                0.10703,                0.09111,                0.74461,               0.003862,               0.003862,               0.003862
                     95,                0.16781,                0.16423,                0.77908,                0.99811,                0.99496,                0.99485,                0.99469,                0.10671,                0.09012,                0.74464,               0.003796,               0.003796,               0.003796
                     96,                0.16717,                0.16382,                0.78002,                0.99784,                0.99495,                0.99478,                0.99463,                0.10608,                0.08968,                 0.7444,                0.00373,                0.00373,                0.00373
                     97,                0.16741,                0.16251,                 0.7797,                0.99788,                0.99545,                0.99483,                0.99469,                0.10581,                0.08863,                0.74422,               0.003664,               0.003664,               0.003664
                     98,                 0.1672,                0.16211,                0.77956,                0.99814,                0.99533,                0.99476,                0.99462,                0.10601,                0.08895,                0.74418,               0.003598,               0.003598,               0.003598
                     99,                0.16644,                0.16037,                0.77888,                 0.9978,                0.99493,                0.99477,                0.99463,                0.10511,                0.08803,                0.74402,               0.003532,               0.003532,               0.003532
                    100,                0.16531,                0.15981,                0.77913,                0.99816,                0.99473,                0.99451,                 0.9944,                0.10542,                0.08983,                0.74413,               0.003466,               0.003466,               0.003466
                    101,                0.16558,                0.15985,                0.77894,                0.99809,                0.99496,                0.99471,                 0.9946,                    inf,                0.09086,                0.74394,                 0.0034,                 0.0034,                 0.0034
                    102,                0.16579,                0.15759,                0.77915,                0.99835,                0.99503,                0.99481,                0.99468,                0.10407,                0.08815,                0.74398,               0.003334,               0.003334,               0.003334
                    103,                0.16574,                0.15974,                0.77904,                0.99838,                0.99497,                0.99485,                 0.9947,                 0.1046,                 0.0874,                0.74401,               0.003268,               0.003268,               0.003268
                    104,                0.16529,                0.15672,                0.78035,                0.99811,                0.99482,                0.99484,                0.99473,                0.10386,                0.08768,                0.74405,               0.003202,               0.003202,               0.003202
                    105,                0.16412,                0.15631,                0.77883,                0.99838,                0.99458,                 0.9948,                 0.9947,                0.10357,                0.08883,                 0.7439,               0.003136,               0.003136,               0.003136
                    106,                0.16552,                0.15707,                0.77939,                0.99834,                0.99486,                0.99476,                0.99462,                0.10362,                0.08838,                0.74387,                0.00307,                0.00307,                0.00307
                    107,                 0.1633,                0.15504,                0.77943,                0.99808,                0.99514,                0.99474,                 0.9946,                 0.1032,                0.08734,                0.74385,               0.003004,               0.003004,               0.003004
                    108,                0.16264,                0.15308,                0.77817,                0.99819,                0.99481,                0.99479,                0.99465,                0.10214,                0.08603,                0.74376,               0.002938,               0.002938,               0.002938
                    109,                0.16351,                0.15285,                0.77907,                0.99829,                0.99531,                0.99487,                0.99472,                0.10303,                0.08698,                0.74379,               0.002872,               0.002872,               0.002872
                    110,                0.16288,                0.15228,                0.77897,                0.99826,                0.99482,                 0.9948,                0.99465,                0.10249,                0.08751,                0.74369,               0.002806,               0.002806,               0.002806
                    111,                0.16137,                0.15075,                0.77952,                0.99811,                0.99474,                 0.9948,                0.99473,                0.10135,                0.08646,                0.74347,                0.00274,                0.00274,                0.00274
                    112,                0.16162,                0.15124,                0.77921,                0.99792,                0.99532,                0.99476,                0.99469,                0.10171,                0.08561,                0.74364,               0.002674,               0.002674,               0.002674
                    113,                0.16177,                0.14803,                0.77823,                0.99824,                0.99506,                0.99477,                0.99467,                    inf,                0.08559,                0.74371,               0.002608,               0.002608,               0.002608
                    114,                0.16192,                0.14717,                0.77787,                0.99818,                0.99506,                0.99471,                0.99461,                0.10179,                0.08576,                0.74358,               0.002542,               0.002542,               0.002542
                    115,                0.16056,                0.14714,                0.77852,                0.99827,                0.99497,                0.99481,                0.99469,                    inf,                0.08545,                0.74352,               0.002476,               0.002476,               0.002476
                    116,                0.16008,                0.14661,                0.77754,                0.99808,                 0.9951,                0.99473,                0.99463,                0.10107,                 0.0843,                0.74342,                0.00241,                0.00241,                0.00241
                    117,                0.15992,                0.14612,                0.77782,                0.99831,                0.99498,                0.99475,                0.99466,                0.10023,                0.08422,                0.74323,               0.002344,               0.002344,               0.002344
                    118,                0.15999,                0.14614,                0.77797,                0.99798,                 0.9952,                0.99475,                0.99467,                0.10012,                0.08424,                0.74323,               0.002278,               0.002278,               0.002278
                    119,                0.15853,                0.14564,                0.77817,                0.99823,                0.99536,                0.99475,                0.99465,                0.09991,                0.08415,                0.74304,               0.002212,               0.002212,               0.002212
                    120,                0.15884,                0.14357,                0.77811,                0.99832,                 0.9953,                0.99475,                0.99467,                0.09987,                0.08365,                0.74317,               0.002146,               0.002146,               0.002146
                    121,                0.15791,                0.14305,                0.77809,                0.99829,                0.99509,                 0.9948,                0.99472,                0.10025,                0.08375,                0.74329,                0.00208,                0.00208,                0.00208
                    122,                0.15794,                0.14367,                0.77823,                 0.9982,                0.99514,                0.99485,                0.99475,                0.10001,                0.08361,                0.74325,               0.002014,               0.002014,               0.002014
                    123,                0.15646,                 0.1414,                0.77867,                0.99831,                0.99535,                0.99481,                 0.9947,                0.09952,                0.08361,                0.74314,               0.001948,               0.001948,               0.001948
                    124,                0.15754,                0.14281,                0.77777,                0.99851,                0.99518,                0.99482,                 0.9947,                0.09933,                0.08366,                0.74313,               0.001882,               0.001882,               0.001882
                    125,                0.15648,                0.14019,                0.77782,                0.99838,                0.99522,                0.99473,                0.99464,                0.09903,                0.08353,                0.74307,               0.001816,               0.001816,               0.001816
                    126,                0.15601,                 0.1387,                0.77675,                0.99824,                0.99545,                0.99473,                0.99466,                0.09884,                0.08264,                0.74304,                0.00175,                0.00175,                0.00175
                    127,                0.15573,                0.13685,                0.77754,                0.99826,                0.99546,                0.99471,                0.99461,                0.09844,                  0.082,                0.74305,               0.001684,               0.001684,               0.001684
                    128,                0.15528,                 0.1358,                0.77655,                0.99843,                0.99535,                0.99471,                 0.9946,                0.09827,                0.08155,                0.74304,               0.001618,               0.001618,               0.001618
                    129,                0.15582,                0.13774,                0.77781,                0.99838,                0.99526,                0.99469,                 0.9946,                0.09779,                0.08159,                0.74304,               0.001552,               0.001552,               0.001552
                    130,                0.15447,                0.13504,                0.77773,                0.99812,                0.99546,                0.99468,                 0.9946,                0.09773,                0.08156,                0.74297,               0.001486,               0.001486,               0.001486
                    131,                 0.1462,                0.11894,                0.77521,                0.99833,                 0.9956,                 0.9947,                0.99463,                0.09771,                0.08181,                0.74296,                0.00142,                0.00142,                0.00142
                    132,                0.14394,                0.11775,                0.77343,                0.99844,                0.99549,                0.99475,                0.99466,                0.09736,                0.08159,                0.74293,               0.001354,               0.001354,               0.001354
                    133,                0.14302,                 0.1162,                0.77237,                0.99851,                0.99567,                0.99479,                0.99469,                0.09656,                0.08062,                0.74284,               0.001288,               0.001288,               0.001288
                    134,                0.14288,                 0.1171,                0.77243,                0.99852,                0.99554,                0.99479,                0.99472,                0.09609,                0.08013,                 0.7428,               0.001222,               0.001222,               0.001222
                    135,                0.14235,                0.11382,                0.77237,                 0.9984,                0.99557,                0.99477,                0.99469,                0.09546,                0.08013,                0.74279,               0.001156,               0.001156,               0.001156
                    136,                0.14111,                0.11324,                0.77235,                 0.9985,                0.99556,                0.99476,                 0.9947,                0.09519,                0.08009,                0.74279,                0.00109,                0.00109,                0.00109
                    137,                 0.1412,                0.11281,                0.77244,                0.99849,                 0.9954,                0.99479,                0.99471,                0.09506,                0.08025,                0.74276,               0.001024,               0.001024,               0.001024
                    138,                0.14077,                0.11298,                0.77335,                0.99842,                 0.9953,                0.99477,                0.99467,                0.09467,                0.08017,                 0.7427,               0.000958,               0.000958,               0.000958
                    139,                0.14017,                0.11067,                0.77232,                0.99843,                 0.9954,                0.99481,                0.99472,                0.09428,                0.08007,                0.74268,               0.000892,               0.000892,               0.000892
                    140,                0.13973,                0.11059,                0.77258,                0.99856,                0.99529,                0.99482,                0.99472,                 0.0941,                0.07987,                0.74266,               0.000826,               0.000826,               0.000826
                    141,                0.13861,                0.10954,                0.77269,                0.99854,                0.99525,                0.99481,                0.99473,                0.09381,                0.07978,                 0.7426,                0.00076,                0.00076,                0.00076
                    142,                  0.138,                0.10712,                0.77096,                0.99853,                0.99532,                0.99484,                0.99475,                0.09337,                0.07942,                0.74251,               0.000694,               0.000694,               0.000694
                    143,                0.13814,                0.10839,                0.77204,                0.99852,                0.99532,                0.99484,                0.99478,                0.09314,                0.07903,                0.74245,               0.000628,               0.000628,               0.000628
                    144,                0.13761,                0.10702,                0.77166,                0.99859,                0.99533,                0.99484,                0.99475,                0.09303,                0.07872,                0.74244,               0.000562,               0.000562,               0.000562
                    145,                0.13702,                0.10435,                0.77196,                0.99857,                0.99546,                0.99478,                0.99468,                0.09285,                0.07888,                0.74242,               0.000496,               0.000496,               0.000496
                    146,                0.13772,                0.10701,                0.77306,                0.99855,                0.99554,                0.99478,                 0.9947,                0.09273,                0.07888,                0.74239,                0.00043,                0.00043,                0.00043
                    147,                0.13648,                0.10499,                0.77249,                0.99851,                0.99574,                0.99478,                 0.9947,                 0.0924,                0.07844,                0.74235,               0.000364,               0.000364,               0.000364
                    148,                0.13548,                0.10314,                0.77187,                0.99856,                0.99572,                0.99476,                0.99467,                0.09217,                0.07826,                0.74231,               0.000298,               0.000298,               0.000298
                    149,                0.13525,                0.10218,                0.77149,                0.99858,                0.99565,                0.99476,                0.99469,                0.09201,                0.07836,                0.74229,               0.000232,               0.000232,               0.000232
                    150,                0.13447,                0.10185,                0.77088,                0.99857,                0.99572,                0.99484,                0.99477,                0.09192,                0.07817,                0.74226,               0.000166,               0.000166,               0.000166
